 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 25.900    10.600     4.969   -19.447     6.520    0.173E-05    0.832E-10
 25.950    10.619     4.959   -19.412     6.530    0.172E-05    0.819E-10
 26.000    10.637     4.949   -19.376     6.540    0.170E-05    0.807E-10
 26.050    10.656     4.939   -19.340     6.550    0.169E-05    0.794E-10
 26.100    10.675     4.929   -19.305     6.560    0.168E-05    0.782E-10
 26.150    10.693     4.920   -19.269     6.570    0.166E-05    0.771E-10
 26.200    10.712     4.910   -19.234     6.580    0.165E-05    0.759E-10
 26.250    10.731     4.900   -19.199     6.590    0.164E-05    0.748E-10
 26.300    10.749     4.890   -19.164     6.600    0.163E-05    0.737E-10
 26.350    10.768     4.880   -19.129     6.610    0.161E-05    0.726E-10
 26.400    10.786     4.870   -19.094     6.620    0.160E-05    0.715E-10
 26.450    10.804     4.860   -19.059     6.630    0.159E-05    0.705E-10
 26.500    10.823     4.851   -19.025     6.640    0.158E-05    0.694E-10
 26.550    10.841     4.841   -18.990     6.649    0.157E-05    0.684E-10
 26.600    10.859     4.831   -18.956     6.659    0.155E-05    0.674E-10
 26.650    10.877     4.821   -18.922     6.669    0.154E-05    0.664E-10
 26.700    10.896     4.812   -18.887     6.679    0.153E-05    0.655E-10
 26.750    10.914     4.802   -18.853     6.689    0.152E-05    0.645E-10
 26.800    10.932     4.792   -18.819     6.698    0.151E-05    0.636E-10
 26.850    10.950     4.783   -18.786     6.708    0.150E-05    0.627E-10
 26.900    10.968     4.773   -18.752     6.718    0.149E-05    0.618E-10
 26.950    10.986     4.764   -18.718     6.727    0.147E-05    0.609E-10
 27.000    11.004     4.754   -18.685     6.737    0.146E-05    0.600E-10
 27.050    11.022     4.745   -18.652     6.747    0.145E-05    0.591E-10
 27.100    11.040     4.735   -18.618     6.756    0.144E-05    0.583E-10
 27.150    11.057     4.726   -18.585     6.766    0.143E-05    0.575E-10
 27.200    11.075     4.716   -18.552     6.775    0.142E-05    0.567E-10
 27.250    11.093     4.707   -18.519     6.785    0.141E-05    0.559E-10
 27.300    11.111     4.697   -18.486     6.795    0.140E-05    0.551E-10
 27.350    11.128     4.688   -18.454     6.804    0.139E-05    0.543E-10
 27.400    11.146     4.678   -18.421     6.813    0.138E-05    0.536E-10
 27.450    11.163     4.669   -18.388     6.823    0.137E-05    0.528E-10
 27.500    11.181     4.660   -18.356     6.832    0.136E-05    0.521E-10
 27.550    11.198     4.650   -18.324     6.842    0.135E-05    0.513E-10
 27.600    11.216     4.641   -18.291     6.851    0.134E-05    0.506E-10
 27.650    11.233     4.632   -18.259     6.860    0.133E-05    0.499E-10
 27.700    11.251     4.623   -18.227     6.870    0.132E-05    0.493E-10
 27.750    11.268     4.613   -18.195     6.879    0.131E-05    0.486E-10
 27.800    11.285     4.604   -18.164     6.888    0.130E-05    0.479E-10
 27.850    11.302     4.595   -18.132     6.898    0.129E-05    0.473E-10
 27.900    11.320     4.586   -18.100     6.907    0.128E-05    0.466E-10
 27.950    11.337     4.577   -18.069     6.916    0.127E-05    0.460E-10
 28.000    11.354     4.568   -18.037     6.925    0.126E-05    0.454E-10
 28.050    11.371     4.559   -18.006     6.935    0.125E-05    0.448E-10
 28.100    11.388     4.549   -17.975     6.944    0.125E-05    0.441E-10
 28.150    11.405     4.540   -17.944     6.953    0.124E-05    0.436E-10
 28.200    11.422     4.531   -17.913     6.962    0.123E-05    0.430E-10
 28.250    11.439     4.522   -17.882     6.971    0.122E-05    0.424E-10
 28.300    11.456     4.513   -17.851     6.980    0.121E-05    0.418E-10
 28.350    11.472     4.504   -17.820     6.989    0.120E-05    0.413E-10
 28.400    11.489     4.495   -17.790     6.998    0.119E-05    0.407E-10
 28.450    11.506     4.486   -17.759     7.007    0.118E-05    0.402E-10
 28.500    11.523     4.478   -17.729     7.016    0.118E-05    0.397E-10
 28.550    11.539     4.469   -17.698     7.025    0.117E-05    0.391E-10
 28.600    11.556     4.460   -17.668     7.034    0.116E-05    0.386E-10
 28.650    11.573     4.451   -17.638     7.043    0.115E-05    0.381E-10
 28.700    11.589     4.442   -17.608     7.052    0.114E-05    0.376E-10
 28.750    11.606     4.433   -17.578     7.061    0.114E-05    0.371E-10
 28.800    11.622     4.425   -17.548     7.070    0.113E-05    0.367E-10
 28.850    11.639     4.416   -17.518     7.079    0.112E-05    0.362E-10
 28.900    11.655     4.407   -17.489     7.087    0.111E-05    0.357E-10
 28.950    11.671     4.398   -17.459     7.096    0.110E-05    0.353E-10
 29.000    11.688     4.390   -17.429     7.105    0.110E-05    0.348E-10
 29.050    11.704     4.381   -17.400     7.114    0.109E-05    0.344E-10
 29.100    11.720     4.372   -17.371     7.122    0.108E-05    0.339E-10
 29.150    11.737     4.364   -17.341     7.131    0.107E-05    0.335E-10
 29.200    11.753     4.355   -17.312     7.140    0.107E-05    0.331E-10
 29.250    11.769     4.346   -17.283     7.148    0.106E-05    0.327E-10
 29.300    11.785     4.338   -17.254     7.157    0.105E-05    0.322E-10
 29.350    11.801     4.329   -17.225     7.166    0.104E-05    0.318E-10
 29.400    11.817     4.321   -17.196     7.174    0.104E-05    0.314E-10
 29.450    11.833     4.312   -17.168     7.183    0.103E-05    0.310E-10
 29.500    11.849     4.304   -17.139     7.192    0.102E-05    0.307E-10
 29.550    11.865     4.295   -17.111     7.200    0.102E-05    0.303E-10
 29.600    11.881     4.287   -17.082     7.209    0.101E-05    0.299E-10
 29.650    11.896     4.278   -17.054     7.217    0.100E-05    0.295E-10
 29.700    11.912     4.270   -17.025     7.226    0.995E-06    0.292E-10
 29.750    11.928     4.262   -16.997     7.234    0.989E-06    0.288E-10
 29.800    11.944     4.253   -16.969     7.242    0.982E-06    0.284E-10
 29.850    11.959     4.245   -16.941     7.251    0.975E-06    0.281E-10
 29.900    11.975     4.237   -16.913     7.259    0.969E-06    0.278E-10
 29.950    11.991     4.228   -16.885     7.268    0.962E-06    0.274E-10
 30.000    12.006     4.220   -16.857     7.276    0.956E-06    0.271E-10
 30.050    12.022     4.212   -16.830     7.284    0.949E-06    0.268E-10
 30.100    12.037     4.203   -16.802     7.293    0.943E-06    0.264E-10
 30.150    12.053     4.195   -16.775     7.301    0.936E-06    0.261E-10
 30.200    12.068     4.187   -16.747     7.309    0.930E-06    0.258E-10
 30.250    12.083     4.179   -16.720     7.318    0.924E-06    0.255E-10
 30.300    12.099     4.171   -16.692     7.326    0.918E-06    0.252E-10
 30.350    12.114     4.162   -16.665     7.334    0.912E-06    0.249E-10
 30.400    12.129     4.154   -16.638     7.342    0.906E-06    0.246E-10
 30.450    12.145     4.146   -16.611     7.350    0.900E-06    0.243E-10
 30.500    12.160     4.138   -16.584     7.359    0.894E-06    0.240E-10
 30.550    12.175     4.130   -16.557     7.367    0.888E-06    0.237E-10
 30.600    12.190     4.122   -16.530     7.375    0.882E-06    0.234E-10
 30.650    12.205     4.114   -16.503     7.383    0.876E-06    0.232E-10
 30.700    12.220     4.106   -16.477     7.391    0.870E-06    0.229E-10
 30.750    12.235     4.098   -16.450     7.399    0.865E-06    0.226E-10
 30.800    12.250     4.090   -16.424     7.407    0.859E-06    0.224E-10
 30.850    12.265     4.082   -16.397     7.415    0.853E-06    0.221E-10
 30.900    12.280     4.074   -16.371     7.423    0.848E-06    0.218E-10
 30.950    12.295     4.066   -16.345     7.431    0.842E-06    0.216E-10
 31.000    12.310     4.058   -16.318     7.439    0.837E-06    0.213E-10
 31.050    12.324     4.050   -16.292     7.447    0.831E-06    0.211E-10
 31.100    12.339     4.043   -16.266     7.455    0.826E-06    0.208E-10
 31.150    12.354     4.035   -16.240     7.463    0.821E-06    0.206E-10
 31.200    12.369     4.027   -16.214     7.471    0.815E-06    0.204E-10
 31.250    12.383     4.019   -16.188     7.479    0.810E-06    0.201E-10
 31.300    12.398     4.011   -16.163     7.486    0.805E-06    0.199E-10
 31.350    12.412     4.004   -16.137     7.494    0.800E-06    0.197E-10
 31.400    12.427     3.996   -16.111     7.502    0.794E-06    0.195E-10
 31.450    12.441     3.988   -16.086     7.510    0.789E-06    0.192E-10
 31.500    12.456     3.980   -16.060     7.518    0.784E-06    0.190E-10
 31.550    12.470     3.973   -16.035     7.525    0.779E-06    0.188E-10
 31.600    12.485     3.965   -16.010     7.533    0.774E-06    0.186E-10
 31.650    12.499     3.957   -15.984     7.541    0.769E-06    0.184E-10
 31.700    12.513     3.950   -15.959     7.548    0.764E-06    0.182E-10
 31.750    12.528     3.942   -15.934     7.556    0.759E-06    0.180E-10
 31.800    12.542     3.934   -15.909     7.564    0.755E-06    0.178E-10
 31.850    12.556     3.927   -15.884     7.571    0.750E-06    0.176E-10
 31.900    12.570     3.919   -15.859     7.579    0.745E-06    0.174E-10
 31.950    12.584     3.912   -15.834     7.587    0.740E-06    0.172E-10
 32.000    12.599     3.904   -15.809     7.594    0.736E-06    0.170E-10
 32.050    12.613     3.897   -15.785     7.602    0.731E-06    0.168E-10
 32.100    12.627     3.889   -15.760     7.609    0.726E-06    0.166E-10
 32.150    12.641     3.882   -15.736     7.617    0.722E-06    0.165E-10
 32.200    12.655     3.874   -15.711     7.624    0.717E-06    0.163E-10
 32.250    12.669     3.867   -15.687     7.632    0.713E-06    0.161E-10
 32.300    12.683     3.860   -15.662     7.639    0.708E-06    0.159E-10
 32.350    12.696     3.852   -15.638     7.647    0.704E-06    0.158E-10
 32.400    12.710     3.845   -15.614     7.654    0.700E-06    0.156E-10
 32.450    12.724     3.837   -15.590     7.662    0.695E-06    0.154E-10
 32.500    12.738     3.830   -15.566     7.669    0.691E-06    0.153E-10
 32.550    12.752     3.823   -15.541     7.676    0.687E-06    0.151E-10
 32.600    12.765     3.815   -15.518     7.684    0.682E-06    0.149E-10
 32.650    12.779     3.808   -15.494     7.691    0.678E-06    0.148E-10
 32.700    12.793     3.801   -15.470     7.698    0.674E-06    0.146E-10
 32.750    12.806     3.794   -15.446     7.706    0.670E-06    0.145E-10
 32.800    12.820     3.786   -15.422     7.713    0.666E-06    0.143E-10
 32.850    12.833     3.779   -15.399     7.720    0.661E-06    0.142E-10
 32.900    12.847     3.772   -15.375     7.728    0.657E-06    0.140E-10
 32.950    12.860     3.765   -15.352     7.735    0.653E-06    0.139E-10
 33.000    12.874     3.758   -15.328     7.742    0.649E-06    0.137E-10
 33.050    12.887     3.751   -15.305     7.749    0.645E-06    0.136E-10
 33.100    12.900     3.743   -15.282     7.756    0.641E-06    0.134E-10
 33.150    12.914     3.736   -15.258     7.763    0.637E-06    0.133E-10
 33.200    12.927     3.729   -15.235     7.771    0.634E-06    0.131E-10
 33.250    12.940     3.722   -15.212     7.778    0.630E-06    0.130E-10
 33.300    12.954     3.715   -15.189     7.785    0.626E-06    0.129E-10
 33.350    12.967     3.708   -15.166     7.792    0.622E-06    0.127E-10
 33.400    12.980     3.701   -15.143     7.799    0.618E-06    0.126E-10
 33.450    12.993     3.694   -15.120     7.806    0.615E-06    0.125E-10
 33.500    13.006     3.687   -15.097     7.813    0.611E-06    0.124E-10
 33.550    13.019     3.680   -15.075     7.820    0.607E-06    0.122E-10
 33.600    13.032     3.673   -15.052     7.827    0.604E-06    0.121E-10
 33.650    13.045     3.666   -15.029     7.834    0.600E-06    0.120E-10
 33.700    13.058     3.659   -15.007     7.841    0.596E-06    0.119E-10
 33.750    13.071     3.652   -14.984     7.848    0.593E-06    0.117E-10
 33.800    13.084     3.645   -14.962     7.855    0.589E-06    0.116E-10
 33.850    13.097     3.639   -14.939     7.862    0.586E-06    0.115E-10
 33.900    13.110     3.632   -14.917     7.869    0.582E-06    0.114E-10
 33.950    13.123     3.625   -14.895     7.876    0.579E-06    0.113E-10
 34.000    13.136     3.618   -14.873     7.883    0.575E-06    0.112E-10
 34.050    13.148     3.611   -14.850     7.889    0.572E-06    0.111E-10
 34.100    13.161     3.605   -14.828     7.896    0.568E-06    0.109E-10
 34.150    13.174     3.598   -14.806     7.903    0.565E-06    0.108E-10
 34.200    13.187     3.591   -14.784     7.910    0.562E-06    0.107E-10
 34.250    13.199     3.584   -14.762     7.917    0.558E-06    0.106E-10
 34.300    13.212     3.578   -14.740     7.923    0.555E-06    0.105E-10
 34.350    13.224     3.571   -14.719     7.930    0.552E-06    0.104E-10
 34.400    13.237     3.564   -14.697     7.937    0.548E-06    0.103E-10
 34.450    13.249     3.557   -14.675     7.944    0.545E-06    0.102E-10
 34.500    13.262     3.551   -14.654     7.950    0.542E-06    0.101E-10
 34.550    13.274     3.544   -14.632     7.957    0.539E-06    0.100E-10
 34.600    13.287     3.538   -14.611     7.964    0.536E-06    0.992E-11
 34.650    13.299     3.531   -14.589     7.970    0.533E-06    0.982E-11
 34.700    13.311     3.524   -14.568     7.977    0.529E-06    0.972E-11
 34.750    13.324     3.518   -14.546     7.983    0.526E-06    0.963E-11
 34.800    13.336     3.511   -14.525     7.990    0.523E-06    0.954E-11
 34.850    13.348     3.505   -14.504     7.997    0.520E-06    0.945E-11
 34.900    13.361     3.498   -14.483     8.003    0.517E-06    0.936E-11
 34.950    13.373     3.492   -14.461     8.010    0.514E-06    0.927E-11
 35.000    13.385     3.485   -14.440     8.016    0.511E-06    0.918E-11
 35.050    13.397     3.479   -14.419     8.023    0.508E-06    0.909E-11
 35.100    13.409     3.472   -14.398     8.029    0.505E-06    0.900E-11
 35.150    13.421     3.466   -14.377     8.036    0.502E-06    0.892E-11
 35.200    13.433     3.459   -14.357     8.042    0.500E-06    0.883E-11
 35.250    13.445     3.453   -14.336     8.049    0.497E-06    0.875E-11
 35.300    13.457     3.447   -14.315     8.055    0.494E-06    0.867E-11
 35.350    13.469     3.440   -14.294     8.062    0.491E-06    0.859E-11
 35.400    13.481     3.434   -14.274     8.068    0.488E-06    0.851E-11
 35.450    13.493     3.428   -14.253     8.074    0.485E-06    0.843E-11
 35.500    13.505     3.421   -14.233     8.081    0.483E-06    0.835E-11
 35.550    13.517     3.415   -14.212     8.087    0.480E-06    0.827E-11
 35.600    13.529     3.409   -14.192     8.093    0.477E-06    0.819E-11
 35.650    13.541     3.402   -14.171     8.100    0.474E-06    0.812E-11
 35.700    13.552     3.396   -14.151     8.106    0.472E-06    0.804E-11
 35.750    13.564     3.390   -14.131     8.112    0.469E-06    0.797E-11
 35.800    13.576     3.384   -14.110     8.119    0.466E-06    0.790E-11
 35.850    13.587     3.377   -14.090     8.125    0.464E-06    0.782E-11
 35.900    13.599     3.371   -14.070     8.131    0.461E-06    0.775E-11
 35.950    13.611     3.365   -14.050     8.137    0.458E-06    0.768E-11
 36.000    13.622     3.359   -14.030     8.144    0.456E-06    0.761E-11
 36.050    13.634     3.353   -14.010     8.150    0.453E-06    0.754E-11
 36.100    13.645     3.346   -13.990     8.156    0.451E-06    0.747E-11
 36.150    13.657     3.340   -13.970     8.162    0.448E-06    0.740E-11
 36.200    13.668     3.334   -13.950     8.168    0.446E-06    0.734E-11
 36.250    13.680     3.328   -13.930     8.174    0.443E-06    0.727E-11
 36.300    13.691     3.322   -13.911     8.181    0.441E-06    0.721E-11
 36.350    13.703     3.316   -13.891     8.187    0.438E-06    0.714E-11
 36.400    13.714     3.310   -13.871     8.193    0.436E-06    0.708E-11
 36.450    13.725     3.304   -13.852     8.199    0.433E-06    0.701E-11
 36.500    13.737     3.298   -13.832     8.205    0.431E-06    0.695E-11
 36.550    13.748     3.292   -13.813     8.211    0.429E-06    0.689E-11
 36.600    13.759     3.286   -13.793     8.217    0.426E-06    0.683E-11
 36.650    13.770     3.280   -13.774     8.223    0.424E-06    0.677E-11
 36.700    13.781     3.274   -13.755     8.229    0.421E-06    0.671E-11
 36.750    13.793     3.268   -13.735     8.235    0.419E-06    0.665E-11
 36.800    13.804     3.262   -13.716     8.241    0.417E-06    0.659E-11
 36.850    13.815     3.256   -13.697     8.247    0.415E-06    0.653E-11
 36.900    13.826     3.250   -13.678     8.253    0.412E-06    0.648E-11
 36.950    13.837     3.244   -13.659     8.259    0.410E-06    0.642E-11
 37.000    13.848     3.238   -13.640     8.265    0.408E-06    0.636E-11
 37.050    13.859     3.233   -13.621     8.271    0.405E-06    0.631E-11
 37.100    13.870     3.227   -13.602     8.277    0.403E-06    0.625E-11
 37.150    13.881     3.221   -13.583     8.282    0.401E-06    0.620E-11
 37.200    13.892     3.215   -13.564     8.288    0.399E-06    0.614E-11
 37.250    13.903     3.209   -13.545     8.294    0.397E-06    0.609E-11
 37.300    13.914     3.203   -13.526     8.300    0.395E-06    0.604E-11
 37.350    13.925     3.198   -13.507     8.306    0.392E-06    0.599E-11
 37.400    13.935     3.192   -13.489     8.312    0.390E-06    0.594E-11
 37.450    13.946     3.186   -13.470     8.317    0.388E-06    0.588E-11
 37.500    13.957     3.180   -13.451     8.323    0.386E-06    0.583E-11
 37.550    13.968     3.175   -13.433     8.329    0.384E-06    0.578E-11
 37.600    13.978     3.169   -13.414     8.335    0.382E-06    0.574E-11
 37.650    13.989     3.163   -13.396     8.340    0.380E-06    0.569E-11
 37.700    14.000     3.158   -13.377     8.346    0.378E-06    0.564E-11
 37.750    14.010     3.152   -13.359     8.352    0.376E-06    0.559E-11
 37.800    14.021     3.146   -13.341     8.357    0.374E-06    0.554E-11
 37.850    14.031     3.141   -13.322     8.363    0.372E-06    0.550E-11
 37.900    14.042     3.135   -13.304     8.369    0.370E-06    0.545E-11
 37.950    14.053     3.129   -13.286     8.374    0.368E-06    0.541E-11
 38.000    14.063     3.124   -13.268     8.380    0.366E-06    0.536E-11
 38.050    14.074     3.118   -13.250     8.386    0.364E-06    0.532E-11
 38.100    14.084     3.113   -13.232     8.391    0.362E-06    0.527E-11
 38.150    14.094     3.107   -13.214     8.397    0.360E-06    0.523E-11
 38.200    14.105     3.102   -13.196     8.402    0.358E-06    0.518E-11
 38.250    14.115     3.096   -13.178     8.408    0.356E-06    0.514E-11
 38.300    14.126     3.091   -13.160     8.414    0.354E-06    0.510E-11
 38.350    14.136     3.085   -13.142     8.419    0.352E-06    0.506E-11
 38.400    14.146     3.080   -13.124     8.425    0.350E-06    0.501E-11
 38.450    14.156     3.074   -13.106     8.430    0.349E-06    0.497E-11
 38.500    14.167     3.069   -13.089     8.436    0.347E-06    0.493E-11
 38.550    14.177     3.063   -13.071     8.441    0.345E-06    0.489E-11
 38.600    14.187     3.058   -13.053     8.447    0.343E-06    0.485E-11
 38.650    14.197     3.052   -13.036     8.452    0.341E-06    0.481E-11
 38.700    14.207     3.047   -13.018     8.457    0.339E-06    0.477E-11
 38.750    14.217     3.042   -13.001     8.463    0.338E-06    0.474E-11
 38.800    14.228     3.036   -12.983     8.468    0.336E-06    0.470E-11
 38.850    14.238     3.031   -12.966     8.474    0.334E-06    0.466E-11
 38.900    14.248     3.025   -12.948     8.479    0.332E-06    0.462E-11
 38.950    14.258     3.020   -12.931     8.484    0.331E-06    0.458E-11
 39.000    14.268     3.015   -12.913     8.490    0.329E-06    0.455E-11
 39.050    14.278     3.010   -12.896     8.495    0.327E-06    0.451E-11
 39.100    14.288     3.004   -12.879     8.500    0.325E-06    0.448E-11
 39.150    14.298     2.999   -12.862     8.506    0.324E-06    0.444E-11
 39.200    14.307     2.994   -12.845     8.511    0.322E-06    0.440E-11
 39.250    14.317     2.988   -12.827     8.516    0.320E-06    0.437E-11
 39.300    14.327     2.983   -12.810     8.522    0.319E-06    0.433E-11
 39.350    14.337     2.978   -12.793     8.527    0.317E-06    0.430E-11
 39.400    14.347     2.973   -12.776     8.532    0.315E-06    0.427E-11
 39.450    14.357     2.967   -12.759     8.537    0.314E-06    0.423E-11
 39.500    14.366     2.962   -12.742     8.543    0.312E-06    0.420E-11
 39.550    14.376     2.957   -12.726     8.548    0.311E-06    0.417E-11
 39.600    14.386     2.952   -12.709     8.553    0.309E-06    0.413E-11
 39.650    14.395     2.947   -12.692     8.558    0.307E-06    0.410E-11
 39.700    14.405     2.942   -12.675     8.563    0.306E-06    0.407E-11
 39.750    14.415     2.936   -12.658     8.569    0.304E-06    0.404E-11
 39.800    14.424     2.931   -12.642     8.574    0.303E-06    0.401E-11
 39.850    14.434     2.926   -12.625     8.579    0.301E-06    0.398E-11
 39.900    14.443     2.921   -12.608     8.584    0.300E-06    0.395E-11
 39.950    14.453     2.916   -12.592     8.589    0.298E-06    0.391E-11
 40.000    14.463     2.911   -12.575     8.594    0.297E-06    0.388E-11
 40.050    14.472     2.906   -12.559     8.599    0.295E-06    0.385E-11
 40.100    14.482     2.901   -12.542     8.604    0.294E-06    0.382E-11
 40.150    14.491     2.896   -12.526     8.609    0.292E-06    0.380E-11
 40.200    14.500     2.891   -12.509     8.615    0.291E-06    0.377E-11
 40.250    14.510     2.886   -12.493     8.620    0.289E-06    0.374E-11
 40.300    14.519     2.881   -12.477     8.625    0.288E-06    0.371E-11
 40.350    14.529     2.876   -12.460     8.630    0.286E-06    0.368E-11
 40.400    14.538     2.871   -12.444     8.635    0.285E-06    0.365E-11
 40.450    14.547     2.866   -12.428     8.640    0.283E-06    0.363E-11
 40.500    14.556     2.861   -12.412     8.645    0.282E-06    0.360E-11
 40.550    14.566     2.856   -12.396     8.650    0.280E-06    0.357E-11
 40.600    14.575     2.851   -12.380     8.654    0.279E-06    0.354E-11
 40.650    14.584     2.846   -12.363     8.659    0.278E-06    0.352E-11
 40.700    14.593     2.841   -12.347     8.664    0.276E-06    0.349E-11
 40.750    14.603     2.836   -12.331     8.669    0.275E-06    0.347E-11
 40.800    14.612     2.831   -12.315     8.674    0.273E-06    0.344E-11
 40.850    14.621     2.827   -12.300     8.679    0.272E-06    0.341E-11
 40.900    14.630     2.822   -12.284     8.684    0.271E-06    0.339E-11
 40.950    14.639     2.817   -12.268     8.689    0.269E-06    0.336E-11
 41.000    14.648     2.812   -12.252     8.694    0.268E-06    0.334E-11
 41.050    14.657     2.807   -12.236     8.699    0.267E-06    0.331E-11
 41.100    14.666     2.802   -12.220     8.703    0.265E-06    0.329E-11
 41.150    14.675     2.798   -12.205     8.708    0.264E-06    0.327E-11
 41.200    14.684     2.793   -12.189     8.713    0.263E-06    0.324E-11
 41.250    14.693     2.788   -12.173     8.718    0.261E-06    0.322E-11
 41.300    14.702     2.783   -12.158     8.723    0.260E-06    0.319E-11
 41.350    14.711     2.779   -12.142     8.727    0.259E-06    0.317E-11
 41.400    14.720     2.774   -12.127     8.732    0.258E-06    0.315E-11
 41.450    14.729     2.769   -12.111     8.737    0.256E-06    0.312E-11
 41.500    14.738     2.764   -12.096     8.742    0.255E-06    0.310E-11
 41.550    14.746     2.760   -12.080     8.746    0.254E-06    0.308E-11
 41.600    14.755     2.755   -12.065     8.751    0.253E-06    0.306E-11
 41.650    14.764     2.750   -12.049     8.756    0.251E-06    0.304E-11
 41.700    14.773     2.746   -12.034     8.760    0.250E-06    0.301E-11
 41.750    14.782     2.741   -12.019     8.765    0.249E-06    0.299E-11
 41.800    14.790     2.736   -12.003     8.770    0.248E-06    0.297E-11
 41.850    14.799     2.732   -11.988     8.775    0.246E-06    0.295E-11
 41.900    14.808     2.727   -11.973     8.779    0.245E-06    0.293E-11
 41.950    14.816     2.722   -11.958     8.784    0.244E-06    0.291E-11
 42.000    14.825     2.718   -11.943     8.788    0.243E-06    0.289E-11
 42.050    14.834     2.713   -11.928     8.793    0.242E-06    0.287E-11
 42.100    14.842     2.709   -11.913     8.798    0.241E-06    0.285E-11
 42.150    14.851     2.704   -11.897     8.802    0.239E-06    0.283E-11
 42.200    14.859     2.700   -11.882     8.807    0.238E-06    0.281E-11
 42.250    14.868     2.695   -11.867     8.811    0.237E-06    0.279E-11
 42.300    14.876     2.691   -11.853     8.816    0.236E-06    0.277E-11
 42.350    14.885     2.686   -11.838     8.821    0.235E-06    0.275E-11
 42.400    14.893     2.681   -11.823     8.825    0.234E-06    0.273E-11
 42.450    14.902     2.677   -11.808     8.830    0.232E-06    0.271E-11
 42.500    14.910     2.672   -11.793     8.834    0.231E-06    0.269E-11
 42.550    14.919     2.668   -11.778     8.839    0.230E-06    0.267E-11
 42.600    14.927     2.664   -11.763     8.843    0.229E-06    0.265E-11
 42.650    14.935     2.659   -11.749     8.848    0.228E-06    0.263E-11
 42.700    14.944     2.655   -11.734     8.852    0.227E-06    0.262E-11
 42.750    14.952     2.650   -11.719     8.857    0.226E-06    0.260E-11
 42.800    14.960     2.646   -11.705     8.861    0.225E-06    0.258E-11
 42.850    14.969     2.641   -11.690     8.865    0.224E-06    0.256E-11
 42.900    14.977     2.637   -11.676     8.870    0.223E-06    0.254E-11
 42.950    14.985     2.633   -11.661     8.874    0.222E-06    0.253E-11
 43.000    14.993     2.628   -11.647     8.879    0.221E-06    0.251E-11
 43.050    15.002     2.624   -11.632     8.883    0.219E-06    0.249E-11
 43.100    15.010     2.619   -11.618     8.887    0.218E-06    0.247E-11
 43.150    15.018     2.615   -11.603     8.892    0.217E-06    0.246E-11
 43.200    15.026     2.611   -11.589     8.896    0.216E-06    0.244E-11
 43.250    15.034     2.606   -11.574     8.901    0.215E-06    0.242E-11
 43.300    15.042     2.602   -11.560     8.905    0.214E-06    0.241E-11
 43.350    15.050     2.598   -11.546     8.909    0.213E-06    0.239E-11
 43.400    15.058     2.593   -11.532     8.914    0.212E-06    0.238E-11
 43.450    15.067     2.589   -11.517     8.918    0.211E-06    0.236E-11
 43.500    15.075     2.585   -11.503     8.922    0.210E-06    0.234E-11
 43.550    15.083     2.581   -11.489     8.927    0.209E-06    0.233E-11
 43.600    15.091     2.576   -11.475     8.931    0.208E-06    0.231E-11
 43.650    15.099     2.572   -11.461     8.935    0.207E-06    0.230E-11
 43.700    15.107     2.568   -11.447     8.939    0.206E-06    0.228E-11
 43.750    15.114     2.564   -11.432     8.944    0.205E-06    0.227E-11
 43.800    15.122     2.559   -11.418     8.948    0.204E-06    0.225E-11
 43.850    15.130     2.555   -11.404     8.952    0.203E-06    0.224E-11
 43.900    15.138     2.551   -11.390     8.956    0.203E-06    0.222E-11
 43.950    15.146     2.547   -11.377     8.961    0.202E-06    0.221E-11
 44.000    15.154     2.543   -11.363     8.965    0.201E-06    0.219E-11
 44.050    15.162     2.538   -11.349     8.969    0.200E-06    0.218E-11
 44.100    15.170     2.534   -11.335     8.973    0.199E-06    0.216E-11
 44.150    15.177     2.530   -11.321     8.977    0.198E-06    0.215E-11
 44.200    15.185     2.526   -11.307     8.981    0.197E-06    0.214E-11
 44.250    15.193     2.522   -11.293     8.986    0.196E-06    0.212E-11
 44.300    15.201     2.518   -11.280     8.990    0.195E-06    0.211E-11
 44.350    15.208     2.514   -11.266     8.994    0.194E-06    0.209E-11
 44.400    15.216     2.509   -11.252     8.998    0.193E-06    0.208E-11
 44.450    15.224     2.505   -11.239     9.002    0.192E-06    0.207E-11
 44.500    15.231     2.501   -11.225     9.006    0.192E-06    0.205E-11
 44.550    15.239     2.497   -11.211     9.010    0.191E-06    0.204E-11
 44.600    15.247     2.493   -11.198     9.014    0.190E-06    0.203E-11
 44.650    15.254     2.489   -11.184     9.018    0.189E-06    0.201E-11
 44.700    15.262     2.485   -11.171     9.023    0.188E-06    0.200E-11
 44.750    15.269     2.481   -11.157     9.027    0.187E-06    0.199E-11
 44.800    15.277     2.477   -11.144     9.031    0.186E-06    0.198E-11
 44.850    15.284     2.473   -11.130     9.035    0.185E-06    0.196E-11
 44.900    15.292     2.469   -11.117     9.039    0.185E-06    0.195E-11
 44.950    15.300     2.465   -11.104     9.043    0.184E-06    0.194E-11
 45.000    15.307     2.461   -11.090     9.047    0.183E-06    0.193E-11
 45.050    15.314     2.457   -11.077     9.051    0.182E-06    0.191E-11
 45.100    15.322     2.453   -11.064     9.055    0.181E-06    0.190E-11
 45.150    15.329     2.449   -11.050     9.059    0.180E-06    0.189E-11
