 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
 11.300     3.585     8.708   -39.375     2.690    0.484E-04    0.144E-06
 11.350     3.611     8.694   -39.250     2.704    0.476E-04    0.139E-06
 11.400     3.637     8.680   -39.126     2.719    0.468E-04    0.133E-06
 11.450     3.663     8.666   -39.003     2.734    0.460E-04    0.128E-06
 11.500     3.689     8.652   -38.880     2.748    0.452E-04    0.123E-06
 11.550     3.715     8.638   -38.758     2.763    0.444E-04    0.118E-06
 11.600     3.741     8.625   -38.636     2.778    0.436E-04    0.114E-06
 11.650     3.767     8.611   -38.515     2.792    0.429E-04    0.109E-06
 11.700     3.793     8.597   -38.395     2.807    0.421E-04    0.105E-06
 11.750     3.819     8.583   -38.275     2.822    0.414E-04    0.101E-06
 11.800     3.845     8.569   -38.156     2.836    0.407E-04    0.973E-07
 11.850     3.872     8.555   -38.037     2.851    0.400E-04    0.936E-07
 11.900     3.898     8.541   -37.920     2.866    0.394E-04    0.900E-07
 11.950     3.924     8.527   -37.802     2.880    0.387E-04    0.866E-07
 12.000     3.950     8.513   -37.686     2.895    0.381E-04    0.834E-07
 12.050     3.977     8.499   -37.570     2.910    0.374E-04    0.802E-07
 12.100     4.003     8.485   -37.454     2.925    0.368E-04    0.773E-07
 12.150     4.029     8.471   -37.339     2.939    0.362E-04    0.744E-07
 12.200     4.056     8.457   -37.225     2.954    0.356E-04    0.716E-07
 12.250     4.082     8.443   -37.111     2.969    0.351E-04    0.690E-07
 12.300     4.109     8.429   -36.998     2.984    0.345E-04    0.664E-07
 12.350     4.135     8.414   -36.886     2.998    0.339E-04    0.640E-07
 12.400     4.161     8.400   -36.774     3.013    0.334E-04    0.617E-07
 12.450     4.188     8.386   -36.662     3.028    0.329E-04    0.594E-07
 12.500     4.214     8.372   -36.552     3.043    0.323E-04    0.573E-07
 12.550     4.241     8.358   -36.441     3.057    0.318E-04    0.552E-07
 12.600     4.267     8.344   -36.332     3.072    0.313E-04    0.532E-07
 12.650     4.294     8.330   -36.223     3.087    0.308E-04    0.513E-07
 12.700     4.320     8.316   -36.114     3.102    0.303E-04    0.494E-07
 12.750     4.347     8.302   -36.006     3.117    0.299E-04    0.477E-07
 12.800     4.373     8.287   -35.899     3.131    0.294E-04    0.460E-07
 12.850     4.400     8.273   -35.792     3.146    0.289E-04    0.443E-07
 12.900     4.427     8.259   -35.685     3.161    0.285E-04    0.428E-07
 12.950     4.453     8.245   -35.579     3.176    0.281E-04    0.413E-07
 13.000     4.480     8.231   -35.474     3.190    0.276E-04    0.398E-07
 13.050     4.506     8.217   -35.369     3.205    0.272E-04    0.384E-07
 13.100     4.533     8.202   -35.265     3.220    0.268E-04    0.371E-07
 13.150     4.560     8.188   -35.161     3.235    0.264E-04    0.358E-07
 13.200     4.586     8.174   -35.058     3.250    0.260E-04    0.345E-07
 13.250     4.613     8.160   -34.955     3.264    0.256E-04    0.333E-07
 13.300     4.640     8.146   -34.853     3.279    0.252E-04    0.322E-07
 13.350     4.666     8.131   -34.752     3.294    0.248E-04    0.311E-07
 13.400     4.693     8.117   -34.650     3.309    0.245E-04    0.300E-07
 13.450     4.719     8.103   -34.550     3.323    0.241E-04    0.290E-07
 13.500     4.746     8.089   -34.450     3.338    0.237E-04    0.280E-07
 13.550     4.773     8.075   -34.350     3.353    0.234E-04    0.270E-07
 13.600     4.799     8.060   -34.251     3.368    0.231E-04    0.261E-07
 13.650     4.826     8.046   -34.152     3.382    0.227E-04    0.252E-07
 13.700     4.853     8.032   -34.054     3.397    0.224E-04    0.244E-07
 13.750     4.879     8.018   -33.956     3.412    0.221E-04    0.236E-07
 13.800     4.906     8.004   -33.859     3.427    0.217E-04    0.228E-07
 13.850     4.933     7.989   -33.762     3.441    0.214E-04    0.220E-07
 13.900     4.959     7.975   -33.666     3.456    0.211E-04    0.213E-07
 13.950     4.986     7.961   -33.570     3.471    0.208E-04    0.206E-07
 14.000     5.013     7.947   -33.475     3.485    0.205E-04    0.199E-07
 14.050     5.039     7.933   -33.380     3.500    0.202E-04    0.193E-07
 14.100     5.066     7.918   -33.286     3.515    0.199E-04    0.186E-07
 14.150     5.093     7.904   -33.192     3.530    0.197E-04    0.180E-07
 14.200     5.119     7.890   -33.098     3.544    0.194E-04    0.174E-07
 14.250     5.146     7.876   -33.005     3.559    0.191E-04    0.169E-07
 14.300     5.173     7.861   -32.913     3.574    0.189E-04    0.163E-07
 14.350     5.199     7.847   -32.820     3.588    0.186E-04    0.158E-07
 14.400     5.226     7.833   -32.729     3.603    0.183E-04    0.153E-07
 14.450     5.253     7.819   -32.638     3.618    0.181E-04    0.148E-07
 14.500     5.279     7.805   -32.547     3.632    0.178E-04    0.143E-07
 14.550     5.306     7.791   -32.456     3.647    0.176E-04    0.139E-07
 14.600     5.332     7.776   -32.367     3.662    0.173E-04    0.134E-07
 14.650     5.359     7.762   -32.277     3.676    0.171E-04    0.130E-07
 14.700     5.386     7.748   -32.188     3.691    0.169E-04    0.126E-07
 14.750     5.412     7.734   -32.099     3.705    0.166E-04    0.122E-07
 14.800     5.439     7.720   -32.011     3.720    0.164E-04    0.118E-07
 14.850     5.465     7.706   -31.923     3.735    0.162E-04    0.114E-07
 14.900     5.492     7.691   -31.836     3.749    0.160E-04    0.111E-07
